N,n,lib,ne,nr,logname,Scatter Elapsed time,Kernel Elapsed time,Compression Elapsed time,Gather Elapsed time,Merge Elapsed time
1,2,mgdr,100000,1000,exp1_mgdr_2_1_E5.log,0.00401989,0.033792,0.009216,0.00137305,0.00011712
1,2,mgdr,1000000,10000,exp1_mgdr_2_1_E6.log,0.00341518,0.04096,0.024576,0.00625791,0.000199705
1,2,mgdr,10000000,100000,exp1_mgdr_2_1_E7.log,0.00776951,0.084992,0.187392,0.008692,0.000557658
1,2,mgdr,100000000,1000000,exp1_mgdr_2_1_E8.log,0.0523454,0.461824,1.71622,0.00912894,0.0009476
1,2,mgdr,1000000000,10000000,exp1_mgdr_2_1_E9.log,0.549924,3.76525,13.3437,0.0295281,0.00468178
2,2,mgdr,100000,1000,exp1_mgdr_2_2_E5.log,0.00234266,0.039936,0.009216,0.00128622,0.000108153
2,2,mgdr,1000000,10000,exp1_mgdr_2_2_E6.log,0.00253151,0.039936,0.026624,0.00673932,0.000187302
2,2,mgdr,10000000,100000,exp1_mgdr_2_2_E7.log,0.00686654,0.077824,0.2048,0.0105756,0.000630104
2,2,mgdr,100000000,1000000,exp1_mgdr_2_2_E8.log,0.048563,0.459776,1.65069,0.013448,0.000993145
2,2,mgdr,1000000000,10000000,exp1_mgdr_2_2_E9.log,0.462609,3.7591,13.0836,0.0358691,0.00469851
1,4,mgdr,100000,1000,exp1_mgdr_4_1_E5.log,0.00797075,0.04608,0.008192,0.00351208,0.000123042
1,4,mgdr,1000000,10000,exp1_mgdr_4_1_E6.log,0.00721161,0.037888,0.028672,0.0199994,0.000288612
1,4,mgdr,10000000,100000,exp1_mgdr_4_1_E7.log,0.0123546,0.064512,0.140288,0.0285002,0.000611769
1,4,mgdr,100000000,1000000,exp1_mgdr_4_1_E8.log,0.0523168,0.24576,1.12435,0.0267441,0.0013569
1,4,mgdr,1000000000,10000000,exp1_mgdr_4_1_E9.log,0.467409,2.03878,9.77818,0.0484129,0.00887742
2,4,mgdr,100000,1000,exp1_mgdr_4_2_E5.log,0.0102166,0.033792,0.008192,0.00368894,0.000387146
2,4,mgdr,1000000,10000,exp1_mgdr_4_2_E6.log,0.0178762,0.036864,0.017408,0.0152539,0.000214893
2,4,mgdr,10000000,100000,exp1_mgdr_4_2_E7.log,0.0246695,0.058368,0.13312,0.0324572,0.000636473
2,4,mgdr,100000000,1000000,exp1_mgdr_4_2_E8.log,0.0583095,0.24576,1.14688,0.0327634,0.0013645
2,4,mgdr,1000000000,10000000,exp1_mgdr_4_2_E9.log,0.43632,2.03981,9.87443,0.0598,0.008912
2,8,mgdr,100000,1000,exp1_mgdr_8_2_E5.log,0.0155259,0.033792,0.008192,0.0108602,0.000305662
2,8,mgdr,1000000,10000,exp1_mgdr_8_2_E6.log,0.0504814,0.04096,0.011264,0.0313198,0.000221836
2,8,mgdr,10000000,100000,exp1_mgdr_8_2_E7.log,0.042063,0.050176,0.086016,0.0603569,0.000669017
2,8,mgdr,100000000,1000000,exp1_mgdr_8_2_E8.log,0.0723806,0.137216,0.695296,0.0566239,0.00209596
2,8,mgdr,1000000000,10000000,exp1_mgdr_8_2_E9.log,0.428223,1.10182,6.30477,0.0855278,0.0178679
1,2,mpi,100000,1000,exp1_mpi_2_1_E5.log,0.000611118,0.038912,0.009216,0.00207804,0.000119284
1,2,mpi,1000000,10000,exp1_mpi_2_1_E6.log,0.00135331,0.04096,0.03072,0.00640036,0.000191891
1,2,mpi,10000000,100000,exp1_mpi_2_1_E7.log,0.00532752,0.084992,0.192512,0.00971059,0.000604255
1,2,mpi,100000000,1000000,exp1_mpi_2_1_E8.log,0.0399328,0.4608,1.67219,0.0103008,0.000998796
1,2,mpi,1000000000,10000000,exp1_mpi_2_1_E9.log,0.472462,3.76013,13.3571,0.0312686,0.00442836
2,2,mpi,100000,1000,exp1_mpi_2_2_E5.log,0.000150792,0.039936,0.008192,0.00155542,0.000119043
2,2,mpi,1000000,10000,exp1_mpi_2_2_E6.log,0.000770094,0.038912,0.0256,0.00763758,0.000192121
2,2,mpi,10000000,100000,exp1_mpi_2_2_E7.log,0.00388407,0.0768,0.19456,0.010566,0.000583947
2,2,mpi,100000000,1000000,exp1_mpi_2_2_E8.log,0.0327341,0.459776,1.6681,0.0133665,0.000997764
2,2,mpi,1000000000,10000000,exp1_mpi_2_2_E9.log,0.318242,3.76013,13.0673,0.0364182,0.0046807
1,4,mpi,100000,1000,exp1_mpi_4_1_E5.log,0.00052683,0.041984,0.008192,0.00467022,0.000128662
